,bowler,wickets,matches,balls,A1index,A2index
0,P Kumar,44,118,1642,5.329096045197741,1.9875032866067128
1,Z Khan,58,99,1346,4.744809203142535,2.7802713247268214
2,AA Noffke,0,1,7,11.5,11.5
3,AB Dinda,36,68,855,4.994893790849673,2.645435746927087
4,I Sharma,44,88,1267,5.50457702020202,2.752999328414569
5,AB Agarkar,6,25,194,8.013333333333334,1.9360213333333336
6,B Lee,12,38,506,5.576754385964914,1.7649423506828017
7,S Sreesanth,29,44,624,4.982323232323232,3.286377462642958
8,JR Hopes,1,3,18,7.666666666666667,3.4074074074074074
9,JDP Oram,4,9,113,6.407407407407408,2.926840420667581
10,MS Gony,18,36,505,6.456404320987655,3.23318395395138
11,GD McGrath,9,14,226,3.982142857142857,2.5802660349854225
12,B Geeves,1,2,25,7.333333333333333,5.5
13,MF Maharoof,11,15,176,5.061111111111112,3.733975308641976
14,MM Patel,30,59,670,5.740583804143126,2.9205900365232624
15,SR Watson,35,88,864,5.878472222222222,2.338787824982782
16,SK Trivedi,7,19,136,6.337719298245614,2.3525052242795352
17,WPUJC Vaas,17,13,200,3.6303418803418803,4.768851464117736
18,RP Singh,35,82,1060,5.659891598915989,2.4166491345163306
19,SB Styris,1,6,45,4.986111111111112,0.9695216049382718
20,JH Kallis,20,56,535,6.101190476190475,2.180942131316812
21,A Nehra,45,88,1131,5.84090909090909,2.9875827620210362
22,SM Pollock,9,13,208,4.9326923076923075,3.4441283568502503
23,DS Kulkarni,46,84,1020,5.878174603174604,3.219833452560919
24,Mohammad Asif,3,8,94,7.944444444444445,3.103298611111111
25,YK Pathan,15,36,368,5.077932098765433,2.1197231986358793
26,PP Ojha,7,35,243,7.4833333333333325,1.5027755102040816
27,IK Pathan,32,85,958,5.787418300653594,2.179593798765181
28,VRV Singh,1,12,81,9.25,0.8350694444444443
29,P Amarnath,0,1,6,12.0,12.0
30,Sohail Tanvir,6,11,146,4.276515151515151,2.3679877285249185
31,R Vinay Kumar,33,75,763,5.777407407407408,2.543086353909466
32,DNT Zoysa,0,3,37,6.833333333333333,0.7592592592592592
33,SB Bangar,2,3,18,3.1666666666666665,2.4629629629629632
34,Shahid Afridi,1,4,25,5.5625,1.73828125
35,ST Jayasuriya,0,1,6,10.0,10.0
36,SD Chitnis,0,1,7,6.5,6.5
37,DW Steyn,36,95,1189,5.017616959064328,1.9019687110203953
38,CRD Fernando,7,9,82,3.9629629629629637,3.131229995427527
39,DJ Bravo,13,30,230,5.826851851851852,2.53144341563786
40,VY Mahesh,4,9,82,8.166666666666668,3.730452674897119
41,Umar Gul,5,5,42,3.0166666666666666,3.1373333333333338
