,team,runs,wickets,matches,matches_1,matches_2,balls,batindex_1,batindex_2,bowlindex_1,bowlindex_2
0,Kolkata Knight Riders,8921,292,193,94,99,7231,47.90425531914894,50.75757575757576,24.67132867132867,24.85234899328859
1,Royal Challengers Bangalore,8693,284,195,94,101,7253,46.223404255319146,47.84158415841584,26.96923076923077,24.33116883116883
2,Chennai Super Kings,8081,232,179,94,85,6674,46.90425531914894,48.588235294117645,28.950413223140497,28.56756756756757
3,Kings XI Punjab,8907,280,190,97,93,7109,48.2680412371134,50.74193548387097,26.698529411764707,24.15277777777778
4,Rajasthan Royals,7120,210,160,71,89,5929,49.098591549295776,45.449438202247194,32.60493827160494,25.488372093023255
5,Delhi Capitals,8941,317,194,88,106,7246,48.71590909090909,48.85849056603774,22.16778523489933,23.470238095238095
6,Sunrisers Hyderabad,9369,257,200,112,88,7488,46.75892857142857,53.46590909090909,28.67808219178082,29.73873873873874
7,Mumbai Indians,9245,281,204,111,93,7688,47.88288288288288,49.29032258064516,27.513157894736842,27.17829457364341
8,Kochi Tuskers Kerala,680,23,14,7,7,533,51.714285714285715,55.0,29.11111111111111,19.357142857142858
9,Pune Warriors,1895,76,45,20,25,1680,44.3,45.12,23.903225806451612,20.866666666666667
10,Rising Pune Supergiants,1423,38,30,15,15,1120,50.0,49.4,36.93333333333333,24.608695652173914
11,Gujarat Lions,1553,44,30,14,16,1117,50.285714285714285,57.625,21.5,30.05
